http://dbpedia.org/resource/Andy_Lane,http://www.w3.org/2000/01/rdf-schema#label,Andy Lane
http://dbpedia.org/resource/A_Fall_of_Moondust,http://dbpedia.org/ontology/numberOfPages,224
http://dbpedia.org/resource/I_Am_Not_a_Serial_Killer,http://dbpedia.org/ontology/releaseDate,2009
http://dbpedia.org/resource/The_Malloreon,http://www.w3.org/2000/01/rdf-schema#label,The Malloreon
http://dbpedia.org/resource/Caedmon's_Song,http://dbpedia.org/ontology/releaseDate,1990
http://dbpedia.org/resource/Back_to_the_Moon,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://dbpedia.org/resource/Prince_of_Chaos,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Book
http://dbpedia.org/resource/Heroes_for_My_Son,http://www.w3.org/2000/01/rdf-schema#label,Heroes for My Son
http://dbpedia.org/resource/U.S.,http://dbpedia.org/ontology/isCountryOf,http://dbpedia.org/resource/Ohio_University
http://dbpedia.org/resource/Palm_Sunday_(book),http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Book
http://dbpedia.org/resource/The_View_from_Serendip,http://dbpedia.org/ontology/releaseDate,1977
http://dbpedia.org/resource/Anton_Myrer,http://xmlns.com/foaf/0.1/gender,male
http://dbpedia.org/resource/Robertson_Davies,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Rebel_Angels
http://dbpedia.org/resource/E._E._Smith,http://www.w3.org/2000/01/rdf-schema#label,E. E. Smith
http://dbpedia.org/resource/Jonathan_Alter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://dbpedia.org/resource/University_of_Winnipeg,http://www.w3.org/2000/01/rdf-schema#label,University of Winnipeg
http://dbpedia.org/resource/The_Venus_Throw,http://dbpedia.org/ontology/releaseDate,1995
http://dbpedia.org/resource/The_Diviners,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Book
http://dbpedia.org/resource/J._G._Ballard,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Day_of_Creation
http://dbpedia.org/resource/The_Eye_of_the_Heron,http://dbpedia.org/ontology/releaseDate,1978
http://dbpedia.org/resource/Alexander_McCall_Smith,http://dbpedia.org/ontology/genre,Fiction
